Categoria,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
circle,0.00359279,0.00654143,0.00716139,0.00863098,0.00497495,0.0100145,0.00366372,0.00309169,0.0108912,0.00779279,0.00437406,0.0114135,0.00699266,0.00926921,0.00699571,0.0116901,0.00479708,0.00903149,0.00952445,0.0117977,0.0030572,0.00382388,0.0077052,0.0117044,0.0117908
circle,0.0472606,0.0794816,0.0640077,0.102086,0.044717,0.118297,0.0330875,0.0359635,0.130111,0.0424743,0.0449961,0.138835,0.0400191,0.0456903,0.0617494,0.14535,0.0289028,0.0414121,0.0788461,0.150263,0.0169907,0.0192097,0.0331167,0.0942164,0.154001
circle,0.0130895,0.0230913,0.0228695,0.031069,0.0203686,0.0375779,0.0125115,0.0164909,0.0429589,0.00587527,0.011758,0.0474451,0.00183722,0.000393426,0.00653705,0.0512081,0.00707478,0.00426275,0.00111348,0.0543805,0.00971138,0.00980792,0.00745154,0.00433448,0.0570677
circle,0.00133897,0.00188123,0.000421728,0.00220291,0.000793709,0.00234225,0.00156395,0.0018015,0.00236255,0.00240133,0.00276954,0.00230813,0.00314349,0.00253337,0.0035976,0.0022075,0.0019569,0.00227236,0.00427637,0.00207987,0.000205014,0.0011943,0.00179813,0.00480986,0.00193897
circle,0.0038798,0.00788434,0.0111377,0.0107992,0.0106668,0.0129681,0.00759415,0.00940456,0.01458,0.00740411,0.00780135,0.0157554,0.0131341,0.0122583,0.00695556,0.0165878,0.0144718,0.0165424,0.00774017,0.0171535,0.00730092,0.0108073,0.0188361,0.00974792,0.0175158
circle,0.00544072,0.00865099,0.0066803,0.0114962,0.00857419,0.0143922,0.0165205,0.0120295,0.0173773,0.0227818,0.015627,0.0203947,0.021567,0.0250994,0.0186473,0.02338,0.0135269,0.0240016,0.0208318,0.0262834,0.00357517,0.00475253,0.0206865,0.0221558,0.0290718
circle,0.0424981,0.0685704,0.0443243,0.0854337,0.023183,0.096878,0.0246353,0.0239602,0.105018,0.0264086,0.0382123,0.111067,0.0100679,0.0175689,0.0517288,0.115739,0.00750775,0.0050933,0.0626937,0.119467,0.0131458,0.0143583,0.0116614,0.0713993,0.122522
circle,0.000206298,0.000401115,0.000424358,0.000521153,0.000291586,0.000631448,0.000437191,0.000457906,0.000763916,0.00149561,0.000841636,0.000923835,0.00316931,0.00249853,0.00130039,0.00110566,0.00312653,0.00302209,0.00173954,0.00130176,0.00121558,0.00203489,0.00310264,0.00211824,0.00150565
circle,0.00346728,0.00638152,0.00841634,0.00905377,0.0103779,0.0115613,0.0106049,0.01185,0.0139271,0.010086,0.0127495,0.0161595,0.00919053,0.00962661,0.0131608,0.0182641,0.00953797,0.00986699,0.0132036,0.0202472,0.00970314,0.00992179,0.0107267,0.0129904,0.0221155
circle,0.0170105,0.030261,0.0306325,0.0408261,0.0270983,0.0493601,0.015125,0.0213652,0.0563181,0.00675802,0.014705,0.0620365,0.00883081,0.00754622,0.00864806,0.0667715,0.01239,0.0117833,0.00730176,0.0707208,0.0111057,0.0124907,0.0144452,0.0121513,0.0740387
